phase,flux,flux_err
-2.0069740808153713,0.9998596,0.0023790286
-2.006968092462837,1.0033253,0.005362966
-2.00694597489706,1.0009774,0.0056220717
-2.006940868774384,0.9869246,0.0053424295
-2.0067654522710985,1.0022638,0.0053213416
-2.00673660922288,1.001925,0.005360769
-2.0067144958473655,0.99921745,0.0056177196
-2.006709388794057,1.0084364,0.0053617368
-2.006533965772893,1.0065801,0.0053226636
-2.006505126448585,0.99425083,0.00534575
-2.0064830167983603,1.0086259,0.0056290072
-2.006477908348413,0.9959919,0.0053415177
-2.0063893848299865,1.0006162,0.0024173623
-2.006356094545409,1.0024165,0.002755945
-2.006302479275032,1.0000026,0.0053163082
-2.006273643208974,1.0022314,0.0053489897
-2.0062515382146717,0.9948851,0.0056190663
-2.0062464283684305,0.98408127,0.0053341216
-2.006130688146471,0.9973955,0.002412004
-2.006114723162444,0.99873734,0.0022530728
-2.006070992310475,0.9985992,0.0053122
-2.006042160435713,1.001337,0.0053538783
-2.006020059165322,1.0040106,0.0056441105
-2.0060149479241667,1.0016358,0.005346331
-2.005955249294548,1.0023925,0.002400623
-2.0059043198726156,0.9990522,0.0025426627
-2.005839505812959,0.99859506,0.005318152
-2.005810677662108,0.9975207,0.005360813
-2.005788580115972,0.99642056,0.0056142258
-2.0057834679448736,1.0072939,0.00535706
-2.0056080193140633,0.9967016,0.0053208047
-2.005585229814237,0.99969447,0.002379776
-2.0055791944221513,0.9964508,0.0053535053
-2.005557101531594,0.999813,0.005622605
-2.0055519879645463,0.99923956,0.0053446586
-2.0053765323505415,1.0088551,0.005321028
-2.005347711647856,0.99648225,0.0053631035
-2.0053256224815543,0.9969005,0.005612181
-2.0053205075189027,0.99468255,0.005338805
-2.0051450458523354,1.0000186,0.0053248457
-2.0051162284089346,1.0024332,0.0053555276
-2.005094143432549,1.0047103,0.005625428
-2.00508902753892,0.99100673,0.005343233
-2.0050004872553076,0.9958506,0.0024161914
-2.0049672090856845,1.000066,0.0027532482
-2.0049135593551646,0.99525625,0.0053138067
-2.0048847456349845,0.9904533,0.005344175
-2.0048626643825096,1.0014622,0.0056301723
-2.004857547093966,1.0015593,0.0053434945
-2.0047418073366328,1.0010896,0.0024143187
-2.0047258451529553,1.0016067,0.0022572584
-2.0046820723906076,0.99975157,0.0053073955
-2.004653262861379,0.9866885,0.0053449343
-2.004631185798476,1.0057958,0.00563203
-2.0046260671146734,1.001565,0.0053435797
-2.0045663293746805,0.9978388,0.0023979798
-2.004515446041488,1.0016019,0.002541924
-2.004450585892747,1.0009836,0.0053062905
-2.0044217796221124,0.9977559,0.005348945
-2.0043997067487815,0.9966796,0.005618236
-2.0043945866683397,1.008496,0.0053536193
-2.004219099394541,1.0028259,0.005317996
-2.0041963792782465,0.99872845,0.002379088
-2.0041902968478174,1.0019609,0.005361993
-2.0041682276997763,0.9996562,0.005627086
-2.0041631066880123,1.0031332,0.005359627
-2.003987612430674,0.9945483,0.005315133
-2.0039588136078605,0.99945426,0.0053530782
-2.0039367486507715,1.0134531,0.0056346157
-2.0039316267087197,1.0127587,0.0053651594
-2.0037561259324685,1.0090177,0.00533594
-2.0037273308342556,0.99637836,0.0053547085
-2.003705270067083,0.99341655,0.0056075994
